nome,artista,idioma,letra
The Number of the Beast,Iron Maiden,Inglês,"Música: The Number of the Beast
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

Woe to you, o'er Earth and Sea
For the Devil sends the beast with wrath
Because he knows the time is short
Let him who hath understanding reckon the number of the beast
For it is a human number
Its number is six hundred and sixty-six

I left alone, my mind was blank
I needed time to think, to get the memories from my mind
What did I see? Can I believe
That what I saw that night was real and not just fantasy?
Just what I saw, in my old dreams
Were they reflections of my warped mind staring back at me?
Cos in my dreams, it's always there
The evil face that twists my mind and brings me to despair
Yeah

Night was black, was no use holding back
Cos I just had to see, was someone watching me?
In the mist, dark figures move and twist
Was all this for real, or just some kind of hell?

Six-six-six, the number of the beast
Hell and fire was spawned to be released

Torches blazed and sacred chants were phrased
As they start to cry, hands held to the sky
In the night, the fires are burning bright
The ritual has begun, Satan's work is done

Six-six-six, the number of the beast
Sacrifice is going on tonight


This can't go on, I must inform the law
Can this still be real, or just some crazy dream?
But I feel drawn towards the chanting hordes
Seem to mesmerize, can't avoid the eyes

Six-six-six, the number of the beast
Six-six-six, the one for you and me

I'm coming back, I will return
And I'll possess your body and I'll make you burn
I have the fire, I have the force
I have the power to make my evil take its course"
Run to the Hills,Iron Maiden,Inglês,"Música: Run to the Hills
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

White man came across the sea
He brought us pain and misery
He killed our tribes, he killed our creed
He took our game for his own need
We fought him hard, we fought him well
Out on the plains we gave him hell
But many came, too much for Cree
Oh, will we ever be set free?

Riding through dust clouds and barren wastes
Galloping hard on the plains
Chasing the redskins back to their holes
Fighting them at their own game
Murder for freedom, the stab in the back
Women and children are cowards, attack

Run to the hills, run for your lives
Run to the hills, run for your lives

Soldier blue in the barren wastes
Hunting and killing's their game
Raping the women and wasting the men
The only good Indians are tame
Selling them whiskey and taking their gold
Enslaving the young and destroying the old

Run to the hills, run for your lives
Run to the hills, run for your lives


Yeah
Oh, ow

Run to the hills, run for your lives
Run to the hills, run for your lives
Run to the hills, run for your lives
Run to the hills, run for your lives"
Hallowed Be Thy Name,Iron Maiden,Inglês,"Música: Hallowed Be Thy Name
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

I'm waiting in my cold cell when the bell begins to chime
Reflecting on my past life and it doesn't have much time
'Cause at five o'clock they take me to the gallows pole
The sands of time for me are running low
Running low, yeah

When the priest comes to read me the last rites
Take a look through the bars at the last sights
Of a world that has gone very wrong for me
Can it be that there's some sort of error?
Hard to stop the surmounting terror
Is it really the end, not some crazy dream?

Somebody please tell me that I'm dreaming
It's not easy to stop from screaming
But words escape me when I try to speak
Tears fall, but why am I crying?
After all, I'm not afraid of dying
Don't I believe that there never is an end?


As the guards march me out to the courtyard
Somebody cries from a cell, ""God be with you""
If there's a God, why has He let me go?
As I walk, my life drifts before me
And though the end is near, I'm not sorry
Catch my soul, it's willing to fly away

Mark my words, believe my soul lives on
Don't worry now that I have gone
I've gone beyond to seek the truth
When you know that your time is close at hand
Maybe then you'll begin to understand
Life down here is just a strange illusion


Yeah, yeah, yeah
Hallowed be thy name
Yeah, yeah, yeah
Hallowed be thy name
Yeah"
Aces High,Iron Maiden,Inglês,"Música: Aces High
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

There goes the siren that warns of the air raid
Then comes the sound of the guns sending flak
Out for the scramble, we've got to get airborne
Got to get up for the coming attack
Jump in the cockpit and start up the engines
Remove all the wheel blocks, there's no time to waste
Gathering speed as we head down the runway
Got to get airborne before it's too late

Running, scrambling, flying
Rolling, turning, diving, going in again
Running, scrambling, flying
Rolling, turning, diving

Run, live to fly
Fly to live, do or die
Won't you run, live to fly
Fly to live, aces high



Move in to fire at the mainstream of bombers
Let off a sharp burst and then turn away
Roll over, spin round to come in behind them
Move to their blindsides and firing again
Bandits at 8 o'clock move in behind us
Ten ME-109s out of the sun
Ascending and turning our Spitfires to face them
Heading straight for them, I press down my guns

Rolling, turning, diving
Rolling, turning, diving, doing it again
Rolling, turning, diving
Rolling, turning, diving

Run, live to fly
Fly to live, do or die
Won't you run, live to fly
Fly to live, aces high"
2 Minutes to Midnight,Iron Maiden,Inglês,"Música: 2 Minutes to Midnight
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

Kill for gain or shoot to maim
But we don't need a reason
The Golden Goose is on the loose
And never out of season
Blackened pride still burns inside
This shell of bloody treason
Here's my gun for a barrel of fun
For the love of living death

The killer's breed or the demon's seed
The glamour, the fortune, the pain
Go to war again, blood is freedom's stain
Don't you pray for my soul anymore

Two minutes to midnight
The hands that threaten doom
Two minutes to midnight
To kill the unborn in the womb

The blind men shout, ""Let the creatures out
We'll show the unbelievers""
Napalm screams of human flames
For a prime-time Belsen feast, yeah!
As the reasons for the carnage cut their meat
And lick the gravy
We oil the jaws of the war machine
And feed it with our babies

The killer's breed or the demon's seed
The glamour, the fortune, the pain
Go to war again, blood is freedom's stain
Don't you pray for my soul anymore

Two minutes to midnight
The hands that threaten doom
Two minutes to midnight
To kill the unborn in the womb



The body bags and little rags
Of children torn in two
And the jellied brains of those who remain
To put the finger right on you
As the madmen play on words
And make us all dance to their song
To the tune of starving millions
To make a better kind of gun

The killer's breed or the demon's seed
The glamour, the fortune, the pain
Go to war again, blood is freedom's stain
Don't you pray for my soul anymore

Two minutes to midnight
The hands that threaten doom
Two minutes to midnight
To kill the unborn in the womb

Midnight
Midnight
Midnight
It's all night
Midnight
Midnight
Midnight
It's all night

Midnight
All night!"
Wasted Years,Iron Maiden,Inglês,"Música: Wasted Years
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

From the coast of gold
Across the seven seas
I'm travelin' on far and wide
But now it seems
I'm just a stranger to myself
And all the things I sometimes do
It isn't me but someone else

I close my eyes and think of home
Another city goes by in the night
Ain't it funny how it is?
You never miss it till it's gone away
And my heart is lying there
And will be till my dying day

So, understand
Don't waste your time
Always searching for those wasted years
Face up... make your stand
And realize
You're living in the golden years

Too much time on my hands
I got you on my mind
Can't ease this pain, so easily
When you can't find the words to say
It's hard to make it through another day
And it makes me wanna cry
And throw my hands up to the sky

So, understand
Don't waste your time
Always searching for those wasted years
Face up... make your stand
And realize
You're living in the golden years


So, understand
Don't waste your time
Always searching for those wasted years
Face up... make your stand
And realize
You're living in the golden years
So, understand
Don't waste your time
Always searching for those wasted years
Face up... make your stand
And realize
You're living in the golden years"
Can I Play with Madness,Iron Maiden,Inglês,"Música: Can I Play with Madness
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

Can I play with madness?

Give me the sense to wonder
To wonder if I'm free
Give me a sense of wonder
To know I can be me
Give me the strength to hold my head up
Spit back in their face
Don't need no key to unlock this door
Gonna break down the walls
Break out of this bad place

Can I play with madness?
The prophet stared at his crystal ball
Can I play with madness?
There's no vision there at all
Can I play with madness?
The prophet looked at me and laughed at me, ha, he said:
Can I play with madness?
He said, ""You're blind, too blind to see""

Oh, said, ""You're too blind to see"", mmm

I screamed aloud to the old man
I said, ""Don't lie, don't say you don't know""
I say, ""You'll pay for this mischief
In this world or the next""
Oh, and then he fixed me with a freezing glance
And the hell fires raged in his eyes
He said, ""Do you want to know the truth, son?
Lord, I'll tell you the truth:
Your soul's gonna burn in the lake of fire""

Can I play with madness?
The prophet stared at his crystal ball
Can I play with madness?
There's no vision there at all
Can I play with madness?
The prophet looked at me and laughed at me, ha-ha, he said:
Can I play with madness?
He said, ""You're blind, too blind to see""

Oh, ""Listen to me,"" said the prophet


Can I play with madness?
The prophet stared at his crystal ball
Can I play with madness?
There's no vision there at all
Can I play with madness?
The prophet looked and he laughed at me, ha, he said:
Can I play with madness?
He said, ""You're blind, too blind to see""

Can I play with madness?"
The Evil That Men Do,Iron Maiden,Inglês,"Música: The Evil That Men Do
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

Love is a razor, and I walked the line
On that silver blade
Slept in the dust with his daughter
Eyes red with
The slaughter of innocence
And I will pray for her
I will call her name out loud
I would bleed for her
If I could only see her now

Living on a razor's edge
Balancing on a ledge
Living on a razor's edge, and
Balancing on a ledge, and
Balancing on a ledge, and
Living on a razor's edge
Balancing on a ledge, you know, you know

The evil that men do lives on and on...
The evil that men do lives on and on...
The evil that men do lives on and on...
The evil that men do lives on and on...

Circle of fire, my baptism of joy
At an end, it seems
The seventh lamb slain
The book of life opens before me
And I will pray for you
Someday, I may return
Don't you cry for me
Beyond is where I learn

Living on a razor's edge
Balancing on a ledge
Living on a razor's edge
You know, you know

The evil that men do lives on and on...
The evil that men do lives on and on...
The evil that men do lives on and on...
The evil that men do lives on and on...


Living on a razor's edge
Balancing on a ledge
Living on a razor's edge
You know, you know

The evil that men do lives on and on...
The evil that men do lives on and on...
The evil that men do lives on and on...
The evil that men do lives on and on...

The evil, the evil
The evil that men do
The evil, the evil
The evil that men do
Aw! Aw!"
Fear of the Dark,Iron Maiden,Inglês,"Música: Fear of the Dark
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

I am a man who walks alone
And when I'm walking a dark road
At night, or strolling through the park
When the light begins to change
I sometimes feel a little strange
A little anxious when it's dark

Fear of the dark, fear of the dark
I have a constant fear that something's always near
Fear of the dark, fear of the dark
I have a phobia that someone's always there

Have you run your fingers down the wall
And have you felt your neck skin crawl
When you're searching for the light?
Sometimes when you're scared to take a look
At the corner of the room
You've sensed that something's watching you

Fear of the dark, fear of the dark
I have constant fear that something's always near
Fear of the dark, fear of the dark
I have a phobia that someone's always there

Have you ever been alone at night
Thought you heard footsteps behind
And turned around, and no one's there?
And as you quicken up your pace
You find it hard to look again
Because you're sure there's someone there

Fear of the dark, fear of the dark
I have constant fear that something's always near
Fear of the dark, fear of the dark
I have a phobia that someone's always there


Fear of the dark
Fear of the dark
Fear of the dark
Fear of the dark
Fear of the dark
Fear of the dark
Fear of the dark
Fear of the dark

Watching horror films the night before
Debating witches and folklore
The unknown troubles on your mind
Maybe your mind is playing tricks
You sense, and suddenly eyes fix
On dancing shadows from behind

Fear of the dark, fear of the dark
I have constant fear that something's always near
Fear of the dark, fear of the dark
I have a phobia that someone's always there
Fear of the dark, fear of the dark
I have constant fear that something's always near
Fear of the dark, fear of the dark
I have a phobia that someone's always there

When I'm walking a dark road
I am a man who walks alone"
The Trooper,Iron Maiden,Inglês,"Música: The Trooper
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

You'll take my life, but I'll take yours too
You'll fire your musket, but I'll run you through
So when you're waiting for the next attack
You'd better stand, there's no turning back
The bugle sounds, the charge begins
But on this battlefield, no one wins
The smell of acrid smoke and horse's breath
As I plunge on into certain death

Oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh oh

The horse, he sweats with fear, we break to run
The mighty roar of the Russian guns
And as we race towards the human wall
The screams of pain as my comrades fall
We hurdle bodies that lay on the ground
And the Russians fire another round
We get so near, yet so far away
We won't live to fight another day

Oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh oh



We get so close, near enough to fight
When a Russian gets me in his sights
He pulls the trigger and I feel the blow
A burst of rounds takes my horse below
And as I lay there, gazing at the sky
My body's numb and my throat is dry
And as I lay forgotten and alone
Without a tear, I draw my parting groan

Oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh oh"
